"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Chevrolet | Ford | Honda | Jaguar | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3855D51"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"11/1985",10158,2076,1864,308,,428,10056,2074,1860,308,,428,,
"12/1985",9366,1916,1754,238,,338,9262,1916,1754,238,,336,,
"01/1986",8254,1776,1444,226,2,368,8170,1776,1444,226,2,366,,
"02/1986",7296,1544,1306,218,2,316,7248,1544,1306,218,2,316,,
"03/1986",8990,1798,1566,356,4,412,8918,1798,1564,354,4,412,,
"04/1986",9142,1914,1646,406,2,384,9078,1914,1646,406,2,384,,
"05/1986",10806,2090,1900,540,2,452,10694,2090,1900,536,2,452,,
"06/1986",11232,2144,1944,602,10,402,11122,2144,1944,598,10,402,,
"07/1986",11542,2180,1906,704,,448,11458,2180,1906,704,,448,,
"08/1986",12368,2426,2050,636,6,482,12272,2426,2046,636,6,480,,
"09/1986",10596,2086,1748,488,4,436,10512,2086,1746,488,4,436,,
"10/1986",10922,2190,1908,386,2,500,10842,2190,1908,386,2,500,,
"11/1986",10300,2106,1786,384,6,446,10222,2102,1786,384,6,446,,
"12/1986",10136,2042,1810,314,2,430,10060,2042,1810,314,2,428,,
"01/1987",8314,1712,1474,238,2,352,8236,1712,1474,238,2,352,,
"02/1987",7734,1624,1420,244,2,300,7684,1624,1420,244,2,300,,
"03/1987",8892,1824,1470,338,6,450,8844,1824,1470,338,6,450,,
"04/1987",9278,1904,1520,412,2,416,9214,1902,1518,412,2,416,,
"05/1987",10670,2024,1774,584,6,478,10588,2022,1774,584,6,478,,
"06/1987",11024,2144,1822,574,2,390,10944,2144,1822,574,2,390,,
"07/1987",11324,2090,1932,612,2,510,11252,2090,1932,612,2,510,,
"08/1987",12316,2456,2168,596,14,488,12228,2456,2168,596,14,486,,
"09/1987",10970,2204,1912,514,2,506,10896,2204,1912,514,2,506,,
"10/1987",11780,2390,2120,486,6,514,11690,2390,2120,484,6,514,,
"11/1987",10692,2268,1988,350,,458,10614,2266,1988,350,,458,,
"12/1987",10678,2170,1960,338,8,496,10590,2168,1960,338,8,496,,
"01/1988",8550,1728,1544,214,6,386,8470,1728,1544,214,6,386,,
"02/1988",8082,1664,1378,274,,410,8028,1664,1378,274,,410,,
"03/1988",9260,1804,1740,348,8,432,9224,1804,1740,348,8,432,,
"04/1988",9808,2012,1734,428,12,420,9772,2012,1734,428,12,420,,
"05/1988",10644,2022,1928,510,4,488,10592,2022,1928,510,4,488,,
"06/1988",11136,2178,1984,542,2,472,11100,2178,1984,542,2,472,,
"07/1988",11648,2296,2062,524,4,494,11574,2294,2058,524,4,494,,
"08/1988",11734,2318,1950,600,2,572,11682,2318,1950,600,2,572,,
"09/1988",11228,2340,2004,506,4,478,11142,2338,2002,506,4,478,,
"10/1988",11568,2242,2176,436,,520,11502,2242,2176,436,,518,,
"11/1988",10454,2198,1918,342,8,482,10410,2198,1918,342,8,482,,
"12/1988",11294,2278,1984,308,8,578,11232,2278,1984,308,8,578,,
"01/1989",9020,1754,1622,288,6,432,8942,1754,1622,288,6,432,,
"02/1989",7982,1618,1446,238,6,428,7934,1618,1444,238,6,428,,
"03/1989",9470,1870,1640,358,4,492,9420,1870,1640,358,4,490,,
"04/1989",9576,1848,1784,402,,444,9538,1848,1784,402,,444,,
"05/1989",10170,2014,1824,490,2,530,10118,2014,1824,490,2,530,,
"06/1989",10364,2010,1844,446,8,490,10282,2010,1844,446,8,488,,
"07/1989",11218,2158,1914,576,4,514,11152,2158,1914,576,4,514,,
"08/1989",11042,2152,1946,500,2,538,10974,2150,1946,500,2,538,,
"09/1989",10886,2242,1978,464,,524,10816,2240,1976,464,,522,,
"10/1989",11154,2202,1964,416,6,542,11074,2202,1964,416,6,542,,
"11/1989",9886,1922,1858,346,4,498,9798,1920,1858,346,4,498,,
"12/1989",10972,2118,2074,360,8,542,10892,2118,2074,360,8,542,,
"01/1990",8770,1762,1666,248,4,490,8698,1762,1666,248,4,490,,
"02/1990",7910,1480,1436,250,,384,7858,1480,1436,250,,384,,
"03/1990",9364,1876,1704,368,10,502,9306,1876,1704,368,10,502,,
"04/1990",9296,1810,1650,408,2,422,9238,1808,1648,408,2,422,,
"05/1990",10112,1942,1812,428,10,476,10040,1942,1812,428,10,472,,
"06/1990",10726,2034,1840,530,8,544,10678,2034,1840,530,8,544,,
"07/1990",11324,2302,2058,574,6,590,11234,2302,2056,574,6,588,,
"08/1990",11130,2164,1964,544,8,532,11068,2164,1964,544,8,532,,
"09/1990",10544,1928,1836,514,6,470,10472,1926,1836,514,6,470,,
"10/1990",10176,1926,1892,390,,610,10118,1924,1892,390,,608,,
"11/1990",9656,1858,1772,372,2,486,9602,1858,1772,372,2,484,,
"12/1990",9576,1858,1764,330,14,576,9510,1858,1760,330,14,576,,
"01/1991",7338,1386,1426,192,4,374,4308,804,650,152,4,228,72,20
"02/1991",7294,1434,1378,188,10,422,4318,822,674,138,10,266,90,28
"03/1991",8494,1706,1474,282,2,508,5128,956,732,180,2,326,138,48
"04/1991",8142,1686,1498,354,2,420,4716,1002,690,186,2,264,226,98
"05/1991",9586,1826,1764,482,,506,5446,998,894,224,,354,428,156
"06/1991",10136,2008,1834,540,4,462,5562,1114,844,232,4,274,444,180
"07/1991",10310,1964,1818,486,6,548,5552,1032,808,210,6,322,510,172
"08/1991",10732,2066,1912,498,6,554,5924,1146,870,238,6,356,514,162
"09/1991",9620,1924,1702,412,4,476,5410,1078,806,202,4,284,386,132
"10/1991",9762,1964,1784,358,2,492,5500,1144,852,232,2,310,284,88
"11/1991",9472,1814,1764,316,10,530,5630,1008,822,246,10,348,162,52
"12/1991",8704,1684,1726,278,,476,5268,938,886,224,,276,106,34
"01/1992",7598,1526,1370,216,2,428,4496,844,670,176,2,268,116,34
"02/1992",7178,1450,1314,238,2,368,4280,826,606,194,2,226,122,22
"03/1992",7432,1578,1282,286,2,384,4420,926,676,198,2,226,208,64
"04/1992",7762,1536,1354,314,,382,4388,800,664,180,,232,312,102
"05/1992",9096,1790,1512,410,12,424,5158,1040,694,216,12,302,484,132
"06/1992",9510,1872,1668,436,4,454,5228,996,790,204,4,310,504,186
"07/1992",9340,1726,1736,382,2,474,5128,946,814,182,2,302,410,122
"08/1992",9832,1922,1818,424,8,492,5462,1052,868,216,8,296,498,154
